ENSAPET00000000592.1 ENSAPEG00000000464.1
ENSAPET00000000166.1 ENSAPEG00000000118.1
ENSAPET00000000167.1 ENSAPEG00000000118.1
ENSAPET00000000168.1 ENSAPEG00000000118.1
ENSAPET00000000169.1 ENSAPEG00000000119.1
ENSAPET00000000170.1 ENSAPEG00000000119.1
ENSAPET00000000171.1 ENSAPEG00000000120.1
ENSAPET00000000172.1 ENSAPEG00000000121.1
ENSAPET00000000173.1 ENSAPEG00000000122.1
ENSAPET00000000174.1 ENSAPEG00000000123.1
ENSAPET00000000175.1 ENSAPEG00000000124.1
ENSAPET00000000176.1 ENSAPEG00000000125.1
ENSAPET00000000177.1 ENSAPEG00000000126.1
ENSAPET00000000178.1 ENSAPEG00000000127.1
ENSAPET00000000179.1 ENSAPEG00000000128.1
ENSAPET00000000182.1 ENSAPEG00000000131.1
ENSAPET00000000183.1 ENSAPEG00000000132.1
ENSAPET00000000184.1 ENSAPEG00000000133.1
ENSAPET00000000185.1 ENSAPEG00000000134.1
ENSAPET00000000186.1 ENSAPEG00000000135.1
ENSAPET00000000187.1 ENSAPEG00000000136.1
ENSAPET00000000188.1 ENSAPEG00000000137.1
ENSAPET00000000189.1 ENSAPEG00000000138.1
ENSAPET00000000190.1 ENSAPEG00000000139.1
ENSAPET00000000191.1 ENSAPEG00000000139.1
ENSAPET00000000192.1 ENSAPEG00000000139.1
ENSAPET00000000193.1 ENSAPEG00000000140.1
ENSAPET00000000194.1 ENSAPEG00000000141.1
ENSAPET00000000195.1 ENSAPEG00000000142.1
ENSAPET00000000196.1 ENSAPEG00000000143.1
ENSAPET00000000197.1 ENSAPEG00000000144.1
ENSAPET00000000198.1 ENSAPEG00000000145.1
ENSAPET00000000199.1 ENSAPEG00000000146.1
ENSAPET00000000200.1 ENSAPEG00000000147.1
ENSAPET00000000201.1 ENSAPEG00000000148.1
ENSAPET00000000202.1 ENSAPEG00000000148.1
ENSAPET00000000203.1 ENSAPEG00000000149.1
ENSAPET00000000204.1 ENSAPEG00000000150.1
ENSAPET00000000205.1 ENSAPEG00000000150.1
ENSAPET00000000206.1 ENSAPEG00000000151.1
ENSAPET00000000207.1 ENSAPEG00000000151.1
ENSAPET00000000208.1 ENSAPEG00000000152.1
ENSAPET00000000209.1 ENSAPEG00000000153.1
ENSAPET00000000210.1 ENSAPEG00000000153.1
ENSAPET00000000211.1 ENSAPEG00000000154.1
ENSAPET00000000212.1 ENSAPEG00000000154.1
ENSAPET00000000213.1 ENSAPEG00000000154.1
ENSAPET00000000214.1 ENSAPEG00000000155.1
ENSAPET00000000215.1 ENSAPEG00000000156.1
ENSAPET00000000216.1 ENSAPEG00000000157.1
ENSAPET00000000217.1 ENSAPEG00000000157.1
ENSAPET00000000218.1 ENSAPEG00000000157.1
ENSAPET00000000219.1 ENSAPEG00000000158.1
ENSAPET00000000220.1 ENSAPEG00000000159.1
ENSAPET00000000221.1 ENSAPEG00000000160.1
ENSAPET00000000222.1 ENSAPEG00000000160.1
ENSAPET00000000223.1 ENSAPEG00000000161.1
ENSAPET00000000224.1 ENSAPEG00000000161.1
ENSAPET00000000225.1 ENSAPEG00000000161.1
ENSAPET00000000226.1 ENSAPEG00000000162.1
ENSAPET00000000227.1 ENSAPEG00000000163.1
ENSAPET00000000228.1 ENSAPEG00000000164.1
ENSAPET00000000229.1 ENSAPEG00000000165.1
ENSAPET00000000230.1 ENSAPEG00000000165.1
ENSAPET00000000231.1 ENSAPEG00000000166.1
ENSAPET00000000232.1 ENSAPEG00000000167.1
ENSAPET00000000233.1 ENSAPEG00000000168.1
ENSAPET00000000234.1 ENSAPEG00000000169.1
ENSAPET00000000235.1 ENSAPEG00000000169.1
ENSAPET00000000236.1 ENSAPEG00000000169.1
ENSAPET00000000237.1 ENSAPEG00000000170.1
ENSAPET00000000238.1 ENSAPEG00000000171.1
ENSAPET00000000240.1 ENSAPEG00000000173.1
ENSAPET00000000241.1 ENSAPEG00000000174.1
ENSAPET00000000242.1 ENSAPEG00000000175.1
ENSAPET00000000243.1 ENSAPEG00000000175.1
ENSAPET00000000244.1 ENSAPEG00000000176.1
ENSAPET00000000245.1 ENSAPEG00000000177.1
ENSAPET00000000246.1 ENSAPEG00000000178.1
ENSAPET00000000247.1 ENSAPEG00000000178.1
ENSAPET00000000248.1 ENSAPEG00000000179.1
ENSAPET00000000249.1 ENSAPEG00000000180.1
ENSAPET00000000250.1 ENSAPEG00000000181.1
ENSAPET00000000251.1 ENSAPEG00000000182.1
ENSAPET00000000252.1 ENSAPEG00000000183.1
ENSAPET00000000253.1 ENSAPEG00000000184.1
ENSAPET00000000254.1 ENSAPEG00000000185.1
ENSAPET00000000255.1 ENSAPEG00000000185.1
ENSAPET00000000256.1 ENSAPEG00000000186.1
ENSAPET00000000258.1 ENSAPEG00000000188.1
ENSAPET00000000259.1 ENSAPEG00000000189.1
ENSAPET00000000260.1 ENSAPEG00000000190.1
ENSAPET00000000261.1 ENSAPEG00000000191.1
ENSAPET00000000262.1 ENSAPEG00000000192.1
ENSAPET00000000263.1 ENSAPEG00000000192.1
ENSAPET00000000264.1 ENSAPEG00000000193.1
ENSAPET00000000265.1 ENSAPEG00000000193.1
ENSAPET00000000266.1 ENSAPEG00000000194.1
ENSAPET00000000267.1 ENSAPEG00000000195.1
ENSAPET00000000268.1 ENSAPEG00000000196.1
ENSAPET00000000269.1 ENSAPEG00000000197.1
ENSAPET00000000270.1 ENSAPEG00000000197.1
ENSAPET00000000271.1 ENSAPEG00000000197.1
ENSAPET00000000272.1 ENSAPEG00000000198.1
ENSAPET00000000273.1 ENSAPEG00000000199.1
ENSAPET00000000274.1 ENSAPEG00000000199.1
ENSAPET00000000275.1 ENSAPEG00000000199.1
ENSAPET00000000276.1 ENSAPEG00000000200.1
ENSAPET00000000277.1 ENSAPEG00000000201.1
ENSAPET00000000278.1 ENSAPEG00000000202.1
ENSAPET00000000279.1 ENSAPEG00000000203.1
ENSAPET00000000280.1 ENSAPEG00000000204.1
ENSAPET00000000281.1 ENSAPEG00000000205.1
ENSAPET00000000282.1 ENSAPEG00000000206.1
ENSAPET00000000283.1 ENSAPEG00000000206.1
ENSAPET00000000284.1 ENSAPEG00000000207.1
ENSAPET00000000285.1 ENSAPEG00000000208.1
ENSAPET00000000286.1 ENSAPEG00000000209.1
ENSAPET00000000287.1 ENSAPEG00000000209.1
ENSAPET00000000288.1 ENSAPEG00000000209.1
ENSAPET00000000289.1 ENSAPEG00000000209.1
ENSAPET00000000290.1 ENSAPEG00000000210.1
ENSAPET00000000291.1 ENSAPEG00000000211.1
ENSAPET00000000292.1 ENSAPEG00000000212.1
ENSAPET00000000293.1 ENSAPEG00000000213.1
ENSAPET00000000294.1 ENSAPEG00000000214.1
ENSAPET00000000295.1 ENSAPEG00000000214.1
ENSAPET00000000296.1 ENSAPEG00000000214.1
ENSAPET00000000298.1 ENSAPEG00000000216.1
ENSAPET00000000299.1 ENSAPEG00000000217.1
ENSAPET00000000300.1 ENSAPEG00000000218.1
ENSAPET00000000301.1 ENSAPEG00000000219.1
ENSAPET00000000302.1 ENSAPEG00000000220.1
ENSAPET00000000303.1 ENSAPEG00000000221.1
ENSAPET00000000304.1 ENSAPEG00000000221.1
ENSAPET00000000305.1 ENSAPEG00000000222.1
ENSAPET00000000306.1 ENSAPEG00000000223.1
ENSAPET00000000307.1 ENSAPEG00000000224.1
ENSAPET00000000308.1 ENSAPEG00000000225.1
ENSAPET00000000309.1 ENSAPEG00000000226.1
ENSAPET00000000310.1 ENSAPEG00000000226.1
ENSAPET00000000311.1 ENSAPEG00000000227.1
ENSAPET00000000312.1 ENSAPEG00000000227.1
ENSAPET00000000313.1 ENSAPEG00000000228.1
ENSAPET00000000314.1 ENSAPEG00000000228.1
ENSAPET00000000315.1 ENSAPEG00000000228.1
ENSAPET00000000316.1 ENSAPEG00000000229.1
ENSAPET00000000317.1 ENSAPEG00000000230.1
ENSAPET00000000318.1 ENSAPEG00000000230.1
ENSAPET00000000319.1 ENSAPEG00000000230.1
ENSAPET00000000320.1 ENSAPEG00000000231.1
ENSAPET00000000321.1 ENSAPEG00000000232.1
ENSAPET00000000322.1 ENSAPEG00000000233.1
ENSAPET00000000323.1 ENSAPEG00000000234.1
ENSAPET00000000324.1 ENSAPEG00000000234.1
ENSAPET00000000325.1 ENSAPEG00000000234.1
ENSAPET00000000326.1 ENSAPEG00000000234.1
ENSAPET00000000327.1 ENSAPEG00000000235.1
ENSAPET00000000328.1 ENSAPEG00000000236.1
ENSAPET00000000329.1 ENSAPEG00000000237.1
ENSAPET00000000330.1 ENSAPEG00000000238.1
ENSAPET00000000331.1 ENSAPEG00000000238.1
ENSAPET00000000332.1 ENSAPEG00000000238.1
ENSAPET00000000333.1 ENSAPEG00000000238.1
ENSAPET00000000334.1 ENSAPEG00000000239.1
ENSAPET00000000335.1 ENSAPEG00000000239.1
ENSAPET00000000336.1 ENSAPEG00000000239.1
ENSAPET00000000337.1 ENSAPEG00000000239.1
ENSAPET00000000338.1 ENSAPEG00000000240.1
ENSAPET00000000339.1 ENSAPEG00000000241.1
ENSAPET00000000340.1 ENSAPEG00000000242.1
ENSAPET00000000341.1 ENSAPEG00000000243.1
ENSAPET00000000342.1 ENSAPEG00000000244.1
ENSAPET00000000343.1 ENSAPEG00000000245.1
ENSAPET00000000344.1 ENSAPEG00000000246.1
ENSAPET00000000345.1 ENSAPEG00000000247.1
ENSAPET00000000346.1 ENSAPEG00000000247.1
ENSAPET00000000347.1 ENSAPEG00000000248.1
ENSAPET00000000348.1 ENSAPEG00000000249.1
ENSAPET00000000349.1 ENSAPEG00000000250.1
ENSAPET00000000350.1 ENSAPEG00000000251.1
ENSAPET00000000351.1 ENSAPEG00000000252.1
ENSAPET00000000352.1 ENSAPEG00000000253.1
ENSAPET00000000353.1 ENSAPEG00000000253.1
ENSAPET00000000354.1 ENSAPEG00000000254.1
ENSAPET00000000355.1 ENSAPEG00000000255.1
ENSAPET00000000356.1 ENSAPEG00000000256.1
ENSAPET00000000357.1 ENSAPEG00000000256.1
ENSAPET00000000358.1 ENSAPEG00000000256.1
ENSAPET00000000359.1 ENSAPEG00000000257.1
ENSAPET00000000360.1 ENSAPEG00000000257.1
ENSAPET00000000361.1 ENSAPEG00000000258.1
ENSAPET00000000362.1 ENSAPEG00000000258.1
ENSAPET00000000363.1 ENSAPEG00000000259.1
ENSAPET00000000364.1 ENSAPEG00000000260.1
ENSAPET00000000365.1 ENSAPEG00000000261.1
ENSAPET00000000366.1 ENSAPEG00000000262.1
ENSAPET00000000367.1 ENSAPEG00000000263.1
ENSAPET00000000368.1 ENSAPEG00000000263.1
ENSAPET00000000369.1 ENSAPEG00000000264.1
ENSAPET00000000370.1 ENSAPEG00000000264.1
ENSAPET00000000371.1 ENSAPEG00000000264.1
ENSAPET00000000372.1 ENSAPEG00000000265.1
ENSAPET00000000373.1 ENSAPEG00000000266.1
ENSAPET00000000374.1 ENSAPEG00000000267.1
ENSAPET00000000375.1 ENSAPEG00000000268.1
ENSAPET00000000376.1 ENSAPEG00000000269.1
ENSAPET00000000377.1 ENSAPEG00000000270.1
ENSAPET00000000378.1 ENSAPEG00000000270.1
ENSAPET00000000379.1 ENSAPEG00000000271.1
ENSAPET00000000380.1 ENSAPEG00000000272.1
ENSAPET00000000381.1 ENSAPEG00000000273.1
ENSAPET00000000382.1 ENSAPEG00000000273.1
ENSAPET00000000383.1 ENSAPEG00000000273.1
ENSAPET00000000384.1 ENSAPEG00000000274.1
ENSAPET00000000385.1 ENSAPEG00000000274.1
ENSAPET00000000386.1 ENSAPEG00000000275.1
ENSAPET00000000387.1 ENSAPEG00000000276.1
ENSAPET00000000388.1 ENSAPEG00000000276.1
ENSAPET00000000389.1 ENSAPEG00000000277.1
ENSAPET00000000390.1 ENSAPEG00000000278.1
ENSAPET00000000391.1 ENSAPEG00000000278.1
ENSAPET00000000392.1 ENSAPEG00000000279.1
ENSAPET00000000393.1 ENSAPEG00000000280.1
ENSAPET00000000394.1 ENSAPEG00000000281.1
ENSAPET00000000395.1 ENSAPEG00000000281.1
ENSAPET00000000396.1 ENSAPEG00000000282.1
ENSAPET00000000397.1 ENSAPEG00000000283.1
ENSAPET00000000398.1 ENSAPEG00000000284.1
ENSAPET00000000400.1 ENSAPEG00000000285.1
ENSAPET00000000399.1 ENSAPEG00000000286.1
ENSAPET00000000508.1 ENSAPEG00000000288.1
ENSAPET00000000521.1 ENSAPEG00000000288.1
ENSAPET00000000401.1 ENSAPEG00000000289.1
ENSAPET00000000402.1 ENSAPEG00000000290.1
ENSAPET00000000481.1 ENSAPEG00000000291.1
ENSAPET00000000532.1 ENSAPEG00000000293.1
ENSAPET00000000527.1 ENSAPEG00000000294.1
ENSAPET00000000539.1 ENSAPEG00000000294.1
ENSAPET00000000404.1 ENSAPEG00000000295.1
ENSAPET00000000406.1 ENSAPEG00000000296.1
ENSAPET00000000407.1 ENSAPEG00000000297.1
ENSAPET00000000482.1 ENSAPEG00000000298.1
ENSAPET00000000495.1 ENSAPEG00000000298.1
ENSAPET00000000499.1 ENSAPEG00000000298.1
ENSAPET00000000506.1 ENSAPEG00000000299.1
ENSAPET00000000519.1 ENSAPEG00000000299.1
ENSAPET00000000542.1 ENSAPEG00000000299.1
ENSAPET00000000408.1 ENSAPEG00000000301.1
ENSAPET00000000428.1 ENSAPEG00000000301.1
ENSAPET00000000437.1 ENSAPEG00000000301.1
ENSAPET00000000543.1 ENSAPEG00000000302.1
ENSAPET00000000583.1 ENSAPEG00000000302.1
ENSAPET00000000820.1 ENSAPEG00000000302.1
ENSAPET00000000836.1 ENSAPEG00000000302.1
ENSAPET00000000843.1 ENSAPEG00000000302.1
ENSAPET00000000853.1 ENSAPEG00000000302.1
ENSAPET00000000879.1 ENSAPEG00000000302.1
ENSAPET00000000897.1 ENSAPEG00000000302.1
ENSAPET00000000916.1 ENSAPEG00000000302.1
ENSAPET00000000924.1 ENSAPEG00000000302.1
ENSAPET00000000419.1 ENSAPEG00000000303.1
ENSAPET00000000434.1 ENSAPEG00000000304.1
ENSAPET00000000469.1 ENSAPEG00000000305.1
ENSAPET00000000474.1 ENSAPEG00000000305.1
ENSAPET00000000409.1 ENSAPEG00000000306.1
ENSAPET00000000423.1 ENSAPEG00000000306.1
ENSAPET00000000426.1 ENSAPEG00000000306.1
ENSAPET00000000451.1 ENSAPEG00000000307.1
ENSAPET00000000460.1 ENSAPEG00000000307.1
ENSAPET00000000818.1 ENSAPEG00000000308.1
ENSAPET00000000823.1 ENSAPEG00000000308.1
ENSAPET00000000445.1 ENSAPEG00000000309.1
ENSAPET00000000465.1 ENSAPEG00000000309.1
ENSAPET00000000427.1 ENSAPEG00000000310.1
ENSAPET00000000410.1 ENSAPEG00000000311.1
ENSAPET00000000596.1 ENSAPEG00000000312.1
ENSAPET00000000614.1 ENSAPEG00000000312.1
ENSAPET00000000420.1 ENSAPEG00000000313.1
ENSAPET00000000452.1 ENSAPEG00000000314.1
ENSAPET00000000448.1 ENSAPEG00000000315.1
ENSAPET00000000411.1 ENSAPEG00000000316.1
ENSAPET00000000432.1 ENSAPEG00000000317.1
ENSAPET00000000493.1 ENSAPEG00000000318.1
ENSAPET00000000446.1 ENSAPEG00000000319.1
ENSAPET00000000457.1 ENSAPEG00000000319.1
ENSAPET00000000413.1 ENSAPEG00000000320.1
ENSAPET00000000416.1 ENSAPEG00000000321.1
ENSAPET00000000417.1 ENSAPEG00000000322.1
ENSAPET00000000443.1 ENSAPEG00000000323.1
ENSAPET00000000458.1 ENSAPEG00000000323.1
ENSAPET00000000414.1 ENSAPEG00000000324.1
ENSAPET00000000421.1 ENSAPEG00000000324.1
ENSAPET00000000425.1 ENSAPEG00000000324.1
ENSAPET00000000441.1 ENSAPEG00000000325.1
ENSAPET00000000454.1 ENSAPEG00000000326.1
ENSAPET00000000415.1 ENSAPEG00000000327.1
ENSAPET00000000545.1 ENSAPEG00000000328.1
ENSAPET00000000557.1 ENSAPEG00000000328.1
ENSAPET00000000512.1 ENSAPEG00000000329.1
ENSAPET00000000418.1 ENSAPEG00000000330.1
ENSAPET00000000433.1 ENSAPEG00000000331.1
ENSAPET00000000449.1 ENSAPEG00000000332.1
